index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.telepolis.de/features/Drohender-Krieg-gegen-China-Wie-der-Westen-sich-selbst-deindustrialisiert-9232090.html,https://www.telepolis.de/features/Drohender-Krieg-gegen-China-Wie-der-Westen-sich-selbst-deindustrialisiert-9232090.html,0,www.telepolis.de,Drohender Krieg gegen China: Wie der Westen sich selbst deindustrialisiert,"Der Versuch, Russland wegen der Ukraine-Invasion wirtschaftlich zu strangulieren, ist gescheitert. Die USA fordern nun von Europa auch die Abkopplung von China. Warum das Ende nur katastrophal sein kann. (Teil 1)",https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/2/7/9/5/9/8/Lithuania-China-lawfare-1300x731-5823566e436ccc19.jpeg,2023-08-01T22:00:00Z,,"Bild: Reinhold Möller / CC-BY-SA 4.0
Der Versuch, Russland wegen der Ukraine-Invasion wirtschaftlich zu strangulieren, ist gescheitert. Die USA fordern nun von Europa auch die Abkopplung von China. … [+9441 chars]",,de,'Pipeline'
https://www.zeit.de/news/2023-08/02/kemmerich-fuer-einschraenkungen-fuer-ukraine-fluechtlinge,https://www.zeit.de/news/2023-08/02/kemmerich-fuer-einschraenkungen-fuer-ukraine-fluechtlinge,0,www.zeit.de,Aufnahme: Kemmerich für Einschränkungen für Ukraine-Flüchtlinge,,,2023-08-02T11:50:18Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+821 chars]",,de,'Ukraine'
