keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Bürgergeld',0.10008735824397545,1.1133806323238313,0.10882613528733222,1.1377307918253978,285.0
'Dämmung',-0.0037111020949841616,1.0339008990318457,0.13340405895184665,1.10253768281826,161.0
'Energie',0.04646985418426426,0.9546143360066829,0.09541999357580273,1.0444629199816595,1537.0
'Gas',0.030695022922717544,0.9914491610256603,0.06447137707140059,1.054553831102605,1150.0
'Gasmangel',-0.10502643256164106,0.9260138450738464,-0.0639130119188637,1.066606587988748,81.0
'Import',-0.08998556521946462,0.9865031491122397,0.005732392381410291,0.9588599961317112,285.0
'Industrie',0.08815747775392285,0.8743514644998891,-0.05307741681824668,0.900590983851501,322.0
'Katar',0.08643921269663567,1.0337172252250038,-0.06768696076293551,0.9389024228813724,390.0
'Kreml',-0.13826589910707177,1.0443507147629745,-0.04644668193430434,0.9936832754935992,727.0
'Krieg',-0.03207472849567884,0.9205260736570555,-0.10034233199900074,0.8370206026824062,1586.0
'Olaf Scholz',0.2620518717199603,1.035995932154077,-0.09639110926518563,0.9402839103443081,517.0
'Pipeline',-0.13328551392507101,1.0095354012484068,-0.07552322813183636,0.8909096825237122,464.0
'Saporischschja',-0.1627222024260869,1.0022473768962907,-0.12780554224427834,0.8174946496086223,502.0
'Sicherheit',-0.0910550873354468,1.0056636663715233,-0.042368085323199786,0.9880117212153698,326.0
'Ukraine',-0.0074608836470995915,0.9474377615680167,-0.06517280199833712,0.9305036321455888,2201.0
'Unterstützung',0.17898327620506058,0.9276238715231564,0.30685157914656547,1.4592774322349285,360.0
'Versorgung',-0.14126136140488071,1.088969764022661,0.007475096826959554,0.9614477790500834,292.0
'Winter',0.033200666575324944,1.1404679920033007,0.0827001673218964,1.084023458279353,553.0
'Wladimir Putin',-0.10372338527344323,1.0660187609301734,-0.14666624009216195,0.9073679373688014,349.0
'frieren',-0.28689077144693104,1.1098013701848346,-0.02273459114247744,0.7696897884804216,180.0
'heizen',0.15128413092890264,0.9429019683787683,0.39480178414912215,1.2593486930089404,291.0
'sparen',0.14766188764547522,1.0121770597284974,0.18298849156955746,1.088063526734907,327.0
