,phrase,label,sentiment,subjectivity,language,count
russische Angriffskrieg,russische Angriffskrieg,MISC,,,de,26
COP27,COP27,MISC,,,de,26
Untersuchungsausschuss,Untersuchungsausschuss,MISC,,,de,26
Fußball-WM in Katar,Fußball-WM in Katar,MISC,,,de,26
Bürger,Bürger,MISC,3.25,0.0,de,25
Leopard-2-Panzer,Leopard-2-Panzer,MISC,,,de,25
Weltmeisterschaft,Weltmeisterschaft,MISC,,,de,25
schwedischen,schwedischen,MISC,,,de,24
Ukrainekriegs,Ukrainekriegs,MISC,,,de,24
Ukrainern,Ukrainern,MISC,,,de,24
Russischer Angriffskrieg,Russischer Angriffskrieg,MISC,,,de,23
Britischer,Britischer,MISC,,,de,23
Weihnachtsfest,Weihnachtsfest,MISC,,,de,23
Nacht im Krieg,Nacht im Krieg,MISC,,,de,23
Krieg gegen,Krieg gegen,MISC,,,de,22
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,22
Wetter,Wetter,MISC,,,de,22
österreichische,österreichische,MISC,,,de,21
Kriegsende,Kriegsende,MISC,,,de,21
Kriegstag,Kriegstag,MISC,,,de,21
Russlands Angriffskrieg,Russlands Angriffskrieg,MISC,,,de,21
russischen Angriffskriegs,russischen Angriffskriegs,MISC,,,de,21
litauischen,litauischen,MISC,,,de,20
türkischen,türkischen,MISC,,,de,20
Google Store,Google Store,MISC,,,de,20
Deutscher,Deutscher,MISC,,,de,19
Alarm,Alarm,MISC,,,de,19
Ausgerechnet,Ausgerechnet,MISC,-0.4500000000000002,0.0,de,19
ukrainischem,ukrainischem,MISC,,,de,19
KommentareTeilen,KommentareTeilen,MISC,,,de,19
Der Krieg,Der Krieg,MISC,,,de,19
Gasspeicher in Deutschland,Gasspeicher in Deutschland,MISC,,,de,19
Leopard-Kampfpanzern,Leopard-Kampfpanzern,MISC,,,de,19
Melnyk,Melnyk,MISC,-0.3600000000000001,1.6,de,18
Getreide-Abkommen,Getreide-Abkommen,MISC,,,de,18
österreichischen,österreichischen,MISC,,,de,18
Der ukrainische,Der ukrainische,MISC,,,de,18
WM in,WM in,MISC,,,de,18
Ostern,Ostern,MISC,,,de,18
russischen Invasion,russischen Invasion,MISC,,,de,18
Handelsblatt,Handelsblatt,MISC,,,de,17
KOMMENTAR,KOMMENTAR,MISC,,,de,17
afrikanische,afrikanische,MISC,,,de,17
italienische,italienische,MISC,,,de,17
Karlsruhe,Karlsruhe,MISC,,,de,17
Fußball-WM 2022,Fußball-WM 2022,MISC,,,de,17
Nord Stream 2,Nord Stream 2,MISC,-0.14166666666666666,0.0,de,17
afrikanischen,afrikanischen,MISC,,,de,17
Taurus-Marschflugkörper,Taurus-Marschflugkörper,MISC,0.30000000000000004,0.0,de,16
Tag des Sieges,Tag des Sieges,MISC,,,de,16
iranischen,iranischen,MISC,,,de,16
Krieg Russlands gegen die,Krieg Russlands gegen die,MISC,,,de,16
Nacht in der Ukraine,Nacht in der Ukraine,MISC,,,de,16
Fußball-Weltmeisterschaft,Fußball-Weltmeisterschaft,MISC,,,de,16
MiG-29,MiG-29,MISC,,,de,16
schwedische,schwedische,MISC,,,de,16
WM in Katar,WM in Katar,MISC,,,de,16
Ukraine-Invasion Tag,Ukraine-Invasion Tag,MISC,,,de,16
Kölner,Kölner,MISC,,,de,16
Die Ukraine,Die Ukraine,MISC,,,de,16
Wagner-Aufstand,Wagner-Aufstand,MISC,-0.0875,0.0,de,15
russischen Krieg,russischen Krieg,MISC,,,de,15
Millionen,Millionen,MISC,,,de,15
Putins Krieg,Putins Krieg,MISC,,,de,15
dänischen,dänischen,MISC,,,de,15
Anschluss,Anschluss,MISC,,,de,15
Kyiv Independent,Kyiv Independent,MISC,,,de,15
​+++,​+++,MISC,,,de,15
Wagner-Söldner,Wagner-Söldner,MISC,-0.011475409836065573,0.03278688524590164,de,15
chinesischer,chinesischer,MISC,,,de,15
Google News,Google News,MISC,,,de,15
deutsches,deutsches,MISC,,,de,15
Netflix,Netflix,MISC,,,de,15
Kalten Krieg,Kalten Krieg,MISC,,,de,15
Gebäudeenergiegesetz,Gebäudeenergiegesetz,MISC,,,de,14
polnischer,polnischer,MISC,,,de,14
Innere Sicherheit,Innere Sicherheit,MISC,,,de,14
I,I,MISC,,,de,14
Zweiten Weltkriegs,Zweiten Weltkriegs,MISC,,,de,14
deutsch-französische,deutsch-französische,MISC,,,de,14
israelische,israelische,MISC,,,de,14
Corona-Krise,Corona-Krise,MISC,1.4,2.0,de,13
Facebook,Facebook,MISC,,,de,13
russischen Angriffskrieg in der Ukraine,russischen Angriffskrieg in der Ukraine,MISC,,,de,13
IMAGO,IMAGO,MISC,0.16,0.0,de,13
PC,PC,MISC,,,de,13
DAX,DAX,MISC,,,de,13
Bundeshaushalt,Bundeshaushalt,MISC,,,de,13
WELT Nachrichtensender,WELT Nachrichtensender,MISC,,,de,13
Livestream,Livestream,MISC,,,de,13
Strompreisbremse,Strompreisbremse,MISC,0.08888888888888889,0.0,de,13
Kara-Mursa,Kara-Mursa,MISC,,,de,13
Frieden in der Ukraine,Frieden in der Ukraine,MISC,,,de,13
Europäischer,Europäischer,MISC,,,de,12
Deutsch,Deutsch,MISC,,,de,12
europäischer,europäischer,MISC,,,de,12
russischen Krieges,russischen Krieges,MISC,,,de,12
Abwehrschirm,Abwehrschirm,MISC,,,de,12
Stalingrad,Stalingrad,MISC,,,de,12
Android,Android,MISC,,,de,12
japanischen,japanischen,MISC,,,de,12
griechischen,griechischen,MISC,,,de,12
Russische Invasion,Russische Invasion,MISC,,,de,12
pro-ukrainische,pro-ukrainische,MISC,,,de,12
IAEA-Experten,IAEA-Experten,MISC,,,de,12
ISS,ISS,MISC,,,de,12
Ein Jahr,Ein Jahr,MISC,,,de,12
Strompreis,Strompreis,MISC,,,de,11
